case_id,load_profile,scenario_name,user_count,duration_minutes,session_mix,entity_overlap_rate,text_overlap_rate,private_vs_public_mix,fast_vs_slow_mix,expected_cache_scope,expected_singleflight_hits,expected_coalescing,latency_budget_p95_ms,cost_budget_usd_total,actual_shared_public_cache_hit_rate,rationale_shared_public_cache_hit_rate,actual_singleflight_suppression,rationale_singleflight_suppression,actual_coalesced_run_attach_count,rationale_coalesced_run_attach_count,actual_time_to_first_useful_answer_p95,rationale_time_to_first_useful_answer_p95,actual_queue_wait_time_p95,rationale_queue_wait_time_p95,actual_cross_scope_leak_absent,rationale_cross_scope_leak_absent,actual_private_source_not_exposed,rationale_private_source_not_exposed,actual_cost_per_hot_entity_declining,rationale_cost_per_hot_entity_declining,actual_honest_backoff_under_burst,rationale_honest_backoff_under_burst,actual_fast_not_blocked_by_slow,rationale_fast_not_blocked_by_slow,overall_load_gate_pass,overall_load_gate_rationale
L11,P3_mixed_deep,Deep run with background pulse refresh,10,60,"deep-research-max background pulse for watched entities",0.8,0.3,"100% public",0/100,"CSL shared; ESL shared",>=70%,n/a,n/a (background),30000,15.00,,,,,,,,,,,,,,,,,,,,,,,,
L12,P4_prolonged_usage,Daily routine across 7 days,100,10080,"per user daily: 3 fast questions + 1 followup + artifact reopen",0.4,0.2,"70% private-artifact / 30% public",95/5,"USL grows; CSL refreshes with TTL",n/a,n/a,2000 fast / 15000 slow,350.00,,,,,,,,,,,,,,,,,,,,,,,,
L13,P4_prolonged_usage,Cross-session artifact deepening,50,2880,"each user reopens same artifact 5x over 48h adding overlays",0.3,0.1,"100% private-artifact",100/0,"USL + artifact-blocks only",n/a,"100% artifact-first hit",2000,15.00,,,,,,,,,,,,,,,,,,,,,,,,
L14,P4_prolonged_usage,Pulse subscribers and notifications,200,1440,"background pulse runs + inbox deliveries on material change",0.9,0.5,"100% public source",0/100,"CSL+ESL across subscribers",>=90%,coalesced pulse per entity,60000,25.00,,,,,,,,,,,,,,,,,,,,,,,,
L15,P1_conference_hot_burst,Adversarial mix during burst,100,10,"85% legit + 5% prompt injection + 5% SSRF + 5% PII",0.9,0.4,"99% public / 1% private",100/0,"sanitize + reject injected / SSRF",>=95% legit,not_applicable,2000,5.00,,,,,,,,,,,,,,,,,,,,,,,,
L16,P3_mixed_deep,Deep run with partial failure under load,20,60,"10% of blocks forced to fail via rate-limit on USPTO-like source",0.7,0.3,"100% public",0/100,"CSL shared; DLQ dedupe",>=50%,n/a,10000,50.00,,,,,,,,,,,,,,,,,,,,,,,,
L17,P2_mixed_fast,Auth expiry mid-burst,100,10,"30% of users auth token expires mid-session",0.5,0.2,"50% public / 50% private",100/0,"USL re-auth; CSL still usable public-only",>=60%,n/a,2500,3.00,,,,,,,,,,,,,,,,,,,,,,,,
L18,P1_conference_hot_burst,Voice-initiated bursts,50,15,"voice-in fast queries mostly about same entities",0.9,0.5,"100% public",100/0,"CSL+ESL dominate",>=95%,not_applicable,1500,3.00,,,,,,,,,,,,,,,,,,,,,,,,
L19,P3_mixed_deep,Gemini Deep Research adapter fallback,15,60,"primary NodeBench slow-run fails; fallback to deep-research-preview-04-2026",0.4,0.1,"100% public",0/100,"CSL shared; fallback transparent",n/a,n/a,15000,40.00,,,,,,,,,,,,,,,,,,,,,,,,
L20,P4_prolonged_usage,Long-tail niche entity burst,100,120,"users ask about obscure entities with weak web footprint",0.1,0.0,"100% public",90/10,"CSL hits rare; mostly cold",<10%,not_applicable,5000,30.00,,,,,,,,,,,,,,,,,,,,,,,,
