case_id,task_flow_id,mobile_ia_surface,journey_name,user_persona,device,viewport,assistive_tech,theme,entry_url,step_sequence,expected_terminal_state,actual_task_completed,rationale_task_completed,actual_navigation_clear,rationale_navigation_clear,actual_artifact_discoverable,rationale_artifact_discoverable,actual_thread_to_artifact_transition_clear,rationale_thread_to_artifact_transition_clear,actual_a11y_blocker_absent,rationale_a11y_blocker_absent,actual_keyboard_composer_usable,rationale_keyboard_composer_usable,actual_reduced_motion_respected,rationale_reduced_motion_respected,actual_contrast_ok_both_themes,rationale_contrast_ok_both_themes,actual_touch_targets_sufficient,rationale_touch_targets_sufficient,overall_ux_gate_pass,overall_ux_gate_rationale
U11,TF11_upload_file,Chat,Upload a file in chat and verify it lands in Me > Files,returning_user,iphone_safari,390x844,none,dark,/chat,"open composer; attach PDF; submit; navigate Me > Files","file appears in Me > Files within 5 seconds; linked to originating thread; removable",,,,,,,,,,,,,,,,,,,,
U12,TF12_reopen_recent,Home,Reopen a recent artifact from Home or Reports,returning_user,iphone_safari,390x844,none,dark,/,"on Home tap a recent artifact card","artifact opens to last-read position; annotations preserved; back navigation restores Home scroll",,,,,,,,,,,,,,,,,,,,
U13,TF13_share_export,Reports,Share or export a report,founder_diligence,iphone_safari,390x844,none,dark,/report/mno,"tap Share; select Copy Link; open link in incognito","share link works; read-only view renders with citations; OG metadata correct",,,,,,,,,,,,,,,,,,,,
U14,TF14_background_return,Chat,Return to same thread/artifact after backgrounding app,founder_conference,iphone_safari,390x844,none,dark,/thread/pqr,"start thread; background app for 2 minutes; return","app restores to same thread with same scroll position; any completed run now visible; pending run still shown as pending",,,,,,,,,,,,,,,,,,,,
U15,TF01_cold_start,Home,Open app cold (Android Chrome),first_timer_signed_out,android_chrome,412x915,none,dark,/,"same as TF01 on Android","parity with iPhone TF01",,,,,,,,,,,,,,,,,,,,
U16,TF02_quick_company_ask,Chat,Quick ask (screen reader on iPhone),vision_impaired_user,iphone_safari,390x844,voiceover,dark,/chat,"voiceover-driven: focus input; dictate query; submit; hear answer announced","aria-live region announces streaming; citations accessible via rotor; no silent updates",,,,,,,,,,,,,,,,,,,,
U17,TF09_inbox_triage,Inbox,Inbox triage (screen reader),vision_impaired_user,iphone_safari,390x844,voiceover,dark,/inbox,"voiceover navigates sections and items","sections announced by heading; items announced with status prefix; selected item focus preserved on return",,,,,,,,,,,,,,,,,,,,
U18,TF06_thread_tabs,Chat,Thread tabs via keyboard (desktop),power_user,desktop,1440x900,keyboard_only,dark,/thread/stu,"tab through tabs; arrow keys switch; enter opens","arrow keys switch tabs per WAI-ARIA pattern; tab moves out of tablist to panel content",,,,,,,,,,,,,,,,,,,,
U19,TF02_quick_company_ask,Chat,Quick ask with reduced motion,motion_sensitive_user,iphone_safari,390x844,prefers_reduced_motion,dark,/chat,"submit query; observe that streaming cursor does not pulse; skeletons are static","no decorative animation plays; loading indicators remain non-flashing",,,,,,,,,,,,,,,,,,,,
U20,TF01_cold_start,Home,Cold start in light theme,first_timer_signed_out,iphone_safari,390x844,none,light,/,"same as TF01 in light","parity; no invisible text; same affordances",,,,,,,,,,,,,,,,,,,,
U21,TF14_background_return,Chat,Return after long background (30 min),power_user,iphone_safari,390x844,none,dark,/thread/vwx,"background 30 minutes; network may have dropped and reconnected","session refreshes cleanly; no stale streaming spinner; completed run surfaces as notification",,,,,,,,,,,,,,,,,,,,
U22,TF05_notebook_report_switch,Reports,Notebook/Report switch on desktop,founder_diligence,desktop,1440x900,none,dark,/report/yz1,"keyboard switch tabs; verify print preview works","print stylesheet legible; no decorative UI in printed PDF",,,,,,,,,,,,,,,,,,,,
U23,TF04_open_artifact,Reports,Artifact discovery from ambiguous state,power_user,iphone_safari,390x844,none,dark,/chat,"run ambiguous query that resolved to draft state","when expected_artifact_state is draft, 'Open report' is hidden or clearly labeled as draft; user not tricked into thinking it is canonical",,,,,,,,,,,,,,,,,,,,
U24,TF09_inbox_triage,Inbox,Inbox with zero items,first_timer_signed_out,iphone_safari,390x844,none,dark,/inbox,"open Inbox as new user","empty state shows sample items + explanation + CTA to start a chat; not a blank rectangle",,,,,,,,,,,,,,,,,,,,
U25,TF11_upload_file,Chat,Upload then remove file,power_user,iphone_safari,390x844,none,dark,/chat,"attach file; remove before submit","remove affordance is visible and reachable; focus returns to composer; no orphan upload",,,,,,,,,,,,,,,,,,,,
U26,TF13_share_export,Reports,Share a draft (should be blocked),returning_user,iphone_safari,390x844,none,dark,/report/abc,"attempt share on a draft-only artifact","share CTA disabled or hidden; explanation copy tells user to save first; matches artifact_decision_correct rule",,,,,,,,,,,,,,,,,,,,
U27,TF02_quick_company_ask,Chat,Quick ask on flaky network,mobile_3g,iphone_safari,390x844,none,dark,/chat,"3G throttled; submit query","partial answer streams or clean error with retry; no blank screen; retry CTA focusable",,,,,,,,,,,,,,,,,,,,
U28,TF07_steps_understanding,Chat,Abort slow run from Steps tab,founder_diligence,iphone_safari,390x844,none,dark,/thread/aa2,"in Steps tab tap Stop","stop works within 1s; partial artifact labeled stopped; resume affordance or redo affordance present",,,,,,,,,,,,,,,,,,,,
U29,TF06_thread_tabs,Chat,Rapid tab switching under slow network,power_user,iphone_safari,390x844,none,dark,/thread/bb3,"rapidly switch Conversation → Steps → Artifacts → Files","no stuck loaders; each tab hydrates within budget; no console errors",,,,,,,,,,,,,,,,,,,,
U30,TF12_reopen_recent,Home,Deep link to an artifact,returning_user,iphone_safari,390x844,none,dark,/report/cc4,"paste direct URL into new tab","artifact loads; event pill restored; back button takes to Home not browser history blank",,,,,,,,,,,,,,,,,,,,
U31,TF10_pulse_daily_brief,Home,Pulse with no watched entities,first_timer_signed_out,iphone_safari,390x844,none,dark,/,"open Home with no watches set","Pulse card shows helpful prompt to add a watch; sample watches available; not blank",,,,,,,,,,,,,,,,,,,,
U32,TF02_quick_company_ask,Chat,Color-blind safe status badges,colorblind_deuteranopia,desktop,1440x900,deuteranopia_sim,dark,/thread/dd5,"view verdict badges (verified, provisionally_verified, needs_review, failed)","status uses icon + text + color; never color alone; borders or patterns present",,,,,,,,,,,,,,,,,,,,
U33,TF14_background_return,Chat,Multi-tab same thread live sync,power_user,desktop,1440x900,none,dark,/thread/ee6,"open same thread in 2 tabs; send message in A; observe B","B reflects new message within 2s via Convex live query; no state conflicts",,,,,,,,,,,,,,,,,,,,
U34,TF01_cold_start,Home,High-DPI zoom 200%,vision_impaired_user,desktop,1440x900,zoom_200pct,dark,/,"zoom to 200%; traverse main surfaces","no text clipping; no horizontal scroll; controls still usable; reflow graceful",,,,,,,,,,,,,,,,,,,,
U35,TF13_share_export,Reports,Shared view (signed-out),signed_out_viewer,iphone_safari,390x844,none,dark,/s/shared-xyz,"open shared link while signed out","read-only view renders; no sign-in wall on public reports; citations work",,,,,,,,,,,,,,,,,,,,
